MentalHealth_ID,User_ID,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Happiness_Index(1-10),Platform_ID
MH65,U071,6.9,5,,3,3,5,SM03
MH66,U072,7.4,6,7,2,3,8,SM04
MH67,U073,,,5,1,5,,SM04
MH68,U074,4.8,6,,,4,8,SM02
MH69,U075,4.2,8,8,5,2,8,SM02
MH70,U077,9.7,4,8,5,1,,SM02
MH71,U078,7.2,6,9,1,,,SM06
MH72,U079,4.0,7,,2,4,,SM03
MH73,U081,4.8,6,7,2,2,8,SM06
MH74,U082,6.6,6,8,5,1,8,SM04
MH75,U083,,7,,7,2,8,SM04
MH76,U084,7.5,4,7,2,4,8,SM05
MH77,U085,4.0,7,,2,5,,SM02
MH78,U086,5.7,5,6,3,2,9,SM04
MH79,U088,3.2,8,7,3,1,10,SM05
MH80,U089,7.1,3,8,6,5,6,SM06
MH81,U090,3.8,10,6,5,0,10,SM05
MH82,U092,5.5,6,6,4,2,9,SM02
MH83,U093,6.8,7,6,6,2,9,SM02
MH84,U094,,7,7,,1,8,SM05
MH85,U096,3.9,7,6,2,3,10,SM04
MH86,U097,7.7,4,7,2,3,8,SM01
MH87,U098,6.1,4,9,0,4,6,SM01
MH88,U099,7.9,5,8,0,2,8,SM02
MH89,U100,3.5,8,4,3,3,10,SM01
MH90,U101,2.5,9,4,6,3,10,SM06
MH91,U102,6.3,,7,2,2,7,SM01
MH92,U103,5.9,4,7,2,4,7,SM06
MH93,U104,6.0,6,7,6,2,9,SM01
MH94,U106,6.3,7,8,0,2,6,SM02
MH95,U107,6.2,7,7,1,3,9,SM06
MH96,U108,6.8,7,7,2,1,10,SM05
MH97,U109,6.4,6,8,0,1,7,SM02
MH98,U110,7.0,6,6,3,2,8,SM05
MH99,U111,7.3,4,6,5,4,8,SM04
MH100,U112,8.3,5,10,0,2,6,SM06
MH101,U113,4.3,6,8,3,5,9,SM02
MH102,U115,4.8,7,6,3,3,10,SM04
MH103,U116,4.0,9,5,3,2,10,SM05
MH104,U117,4.3,7,6,3,4,9,SM02
MH105,U118,,6,7,1,,9,SM06
MH106,U119,6.3,6,7,6,4,9,SM01
MH107,U120,6.2,5,8,5,3,8,SM03
MH108,U121,5.1,6,5,5,2,9,SM05
MH109,U122,5.5,8,6,5,2,10,SM04
MH110,U123,7.0,4,6,0,5,8,SM06
MH111,U124,2.8,7,5,5,3,10,SM03
MH112,U125,5.5,7,7,,1,9,SM06
MH113,U126,5.7,7,7,0,1,9,SM02
MH114,U127,6.9,5,,,3,8,SM01
MH115,U128,3.1,7,6,4,3,9,SM04
MH116,U129,8.2,5,7,6,4,7,SM06
MH117,U130,5.9,5,5,4,0,9,SM05
MH118,U131,6.0,5,8,1,1,7,SM02
MH119,U132,,8,4,6,4,10,SM02
MH120,U134,5.6,8,6,2,3,9,SM02
MH121,U135,7.7,4,10,2,1,8,SM05
MH122,U136,2.9,8,5,0,1,10,SM06
MH123,U137,5.8,6,7,3,4,10,SM04
MH124,U138,6.2,5,8,4,,,SM02
MH125,U139,5.2,7,5,2,1,10,SM02
MH126,U140,4.8,8,5,4,1,10,SM05
MH127,U141,4.8,6,5,1,,10,SM01
MH128,U142,5.8,6,6,3,1,10,SM01
MH129,U143,2.2,10,5,4,1,10,SM02
MH130,U144,7.2,7,8,3,1,8,SM06
MH131,U145,4.6,8,7,0,2,9,SM04
MH132,U146,5.7,7,5,2,1,10,SM02
MH133,U147,6.2,5,7,6,1,9,SM03
MH134,U148,4.6,7,5,2,3,10,SM04
MH135,U149,5.3,7,6,3,2,,SM01
MH136,U150,1.8,9,7,3,3,10,SM02
MH137,U151,6.8,5,8,6,0,6,SM05
MH138,U152,7.4,4,9,6,3,5,SM03
MH139,U153,2.4,7,7,5,6,9,SM02
MH140,U154,4.8,5,,1,,8,SM06
MH141,U156,5.2,7,5,4,4,10,SM02
MH142,U157,6.7,5,7,2,4,8,SM06
MH143,U158,7.3,5,7,1,3,8,SM03
MH144,U159,7.5,5,6,6,3,7,SM06
MH145,U160,7.9,5,9,2,4,5,SM06
MH146,U161,5.1,5,7,6,3,8,SM03
MH147,U162,3.4,9,7,5,1,8,SM03
MH148,U163,5.3,7,6,4,0,10,SM06
MH149,U164,6.6,6,8,4,0,8,SM01
MH150,U165,3.3,9,5,0,2,10,SM03
MH151,U166,8.5,4,10,3,3,8,SM02
MH152,U167,7.1,6,8,6,1,7,SM04
MH153,U168,5.1,6,5,4,4,10,SM05
MH154,U169,4.2,8,6,3,2,10,SM06
MH155,U170,4.3,8,6,6,2,10,SM06
MH156,U171,5.6,5,7,3,1,6,SM05
MH157,U172,5.1,7,7,2,0,7,SM01
MH158,U173,,6,6,3,3,8,SM05
MH159,U175,6.4,6,8,0,2,8,SM05
MH160,U176,5.4,6,6,4,0,10,SM06
MH161,U177,6.0,,,5,4,8,SM05
MH162,U178,5.1,7,4,2,0,9,SM04
MH163,U179,6.8,5,10,5,1,7,SM02
MH164,U180,6.8,4,7,4,2,7,SM03
MH165,U181,6.3,6,,7,3,6,SM05
MH166,U182,6.6,6,7,1,1,8,SM06
MH167,U183,,10,6,5,,10,SM02
MH168,U184,6.1,7,9,1,4,7,SM03
MH169,U185,7.7,3,9,0,4,5,SM06
MH170,U186,6.4,6,7,,4,,SM01
MH171,U187,3.6,9,5,4,5,10,SM04
MH172,U188,5.4,7,8,3,4,7,SM01
MH173,U189,6.2,6,9,2,2,6,SM04
MH174,U190,4.1,8,6,0,4,10,SM05
MH175,U191,3.1,7,7,2,3,9,SM03
MH176,U192,4.9,7,6,3,3,10,SM05
MH177,U193,4.2,7,7,5,3,,SM04
MH178,U194,5.5,6,8,3,1,,SM04
MH179,U195,2.6,9,4,,1,10,SM04
MH180,U196,6.5,5,7,2,2,8,SM02
MH181,U197,4.4,8,7,6,3,10,SM06
MH182,U198,7.3,5,7,1,1,6,SM03
MH183,U199,5.0,7,5,2,3,10,SM05
MH184,U200,5.5,5,6,2,6,9,SM05
MH185,U201,5.2,7,6,4,0,10,SM01
MH186,U202,4.3,9,7,1,3,9,SM04
MH187,U203,10.0,3,10,3,2,4,SM04
MH188,U204,4.6,6,7,3,,,SM04
MH189,U205,7.3,,8,2,2,7,SM05
MH190,U206,3.5,9,5,4,2,10,SM01
MH191,U207,6.2,4,8,1,3,7,SM06
MH192,U208,6.4,5,8,1,2,7,SM02
MH193,U209,5.5,6,,3,0,9,SM03
MH194,U210,,,6,,2,9,SM06
MH195,U211,5.0,6,6,0,0,8,SM05
MH196,U213,9.8,4,9,5,0,6,SM02
MH197,U214,5.5,7,7,2,4,9,SM02
MH198,U215,6.4,4,6,2,3,7,SM04
MH199,U216,8.7,6,7,5,3,10,SM03
MH200,U217,3.9,9,5,1,0,10,SM05
MH201,U218,5.6,6,6,0,2,8,SM05
MH202,U219,5.0,8,6,4,4,10,SM02
MH203,U220,5.3,6,6,3,2,9,SM05
MH204,U222,4.2,6,6,0,2,8,SM03
MH205,U223,,8,6,0,2,,SM01
MH206,U224,3.6,7,5,3,1,10,SM01
MH207,U225,7.3,5,9,4,4,5,SM06
MH208,U226,6.6,5,7,5,2,7,SM03
MH209,U227,4.6,9,6,3,2,8,SM03
MH210,U228,4.7,9,,3,,10,SM03
MH211,U229,6.0,8,7,2,3,9,SM01
MH212,U230,4.1,8,5,,3,,SM02
MH213,U231,8.8,4,8,1,1,6,SM02
MH214,U232,,7,6,4,,8,SM05
MH215,U233,6.2,6,8,1,3,8,SM02
MH216,U234,6.7,7,7,4,2,8,SM04
MH217,U235,4.5,8,6,1,3,10,SM01
MH218,U236,7.5,4,9,4,5,5,SM03
MH219,U237,5.7,7,7,3,2,9,SM02
MH220,U238,7.2,6,8,6,2,,SM01
MH221,U239,5.1,4,,2,,9,SM02
MH222,U240,7.9,6,8,4,2,7,SM06
MH223,U241,6.2,5,7,1,3,8,SM03
MH224,U242,9.4,3,9,2,3,5,SM06
MH225,U243,4.8,6,5,3,5,10,SM03
MH226,U244,5.9,6,8,0,3,7,SM01
MH227,U245,3.6,8,5,0,2,10,SM05
MH228,U246,4.5,6,6,4,1,9,SM02
MH229,U247,6.6,6,7,3,3,7,SM02
MH230,U248,7.5,6,9,,1,6,SM04
MH231,U249,10.8,5,10,2,3,4,SM06
MH232,U250,5.3,5,,2,,8,SM02
MH233,U251,3.8,7,5,3,2,9,SM01
MH234,U252,6.9,6,8,4,2,8,SM05
MH235,U253,3.5,9,4,0,0,10,SM01
MH236,U254,6.5,,,6,,8,SM06
MH237,U255,4.6,8,7,6,3,9,SM04
MH238,U256,5.9,4,7,0,3,5,SM02
MH239,U257,7.5,4,8,5,0,7,SM01
MH240,U258,5.3,7,8,5,5,9,SM03
MH241,U259,7.2,4,7,3,2,6,SM05
MH242,U260,7.1,4,8,0,2,7,SM01
MH243,U261,2.1,8,4,5,1,10,SM05
MH244,U262,3.9,8,6,,,10,SM02
MH245,U263,2.7,6,3,,4,,SM03
MH246,U264,9.1,4,9,7,4,4,SM04
MH247,U265,5.3,7,7,4,2,8,SM04
MH248,U266,8.7,4,8,,,7,SM03
MH249,U268,4.5,7,6,1,2,8,SM02
MH250,U269,6.9,5,,,1,6,SM01
MH251,U270,5.8,8,6,1,2,10,SM03
MH252,U271,6.5,5,6,2,3,8,SM06
MH253,U272,3.2,,6,0,,,SM05
MH254,U273,8.0,5,8,3,3,6,SM04
MH255,U274,6.9,5,7,3,0,9,SM03
MH256,U275,6.2,3,8,0,3,5,SM04
MH257,U276,4.3,7,5,4,2,10,SM05
MH258,U277,6.1,7,8,3,5,9,SM04
MH259,U278,5.0,7,6,1,,10,SM03
MH260,U279,2.5,,5,7,5,10,SM05
MH261,U280,5.4,5,8,5,2,7,SM06
MH262,U283,1.5,9,4,5,5,10,SM02
MH263,U284,5.9,6,9,3,2,7,SM03
MH264,U285,3.4,7,7,4,2,10,SM05
MH265,U286,6.1,5,6,4,3,9,SM02
MH266,U287,6.2,6,8,0,3,7,SM03
MH267,U288,5.3,6,6,3,4,9,SM06
MH268,U289,7.0,4,8,3,2,6,SM06
MH269,U290,3.3,7,5,6,4,9,SM01
MH270,U291,7.5,,7,,4,,SM04
MH271,U292,4.2,9,7,2,2,8,SM02
MH272,U293,2.7,8,5,3,3,10,SM05
MH273,U294,5.0,7,6,5,2,10,SM05
MH274,U295,1.7,9,4,3,6,10,SM04
MH275,U296,6.0,5,7,2,0,7,SM06
MH276,U297,5.0,5,7,2,4,8,SM06
MH277,U298,7.7,4,8,5,0,5,SM03
MH278,U299,6.7,6,5,4,2,9,SM01
MH279,U300,3.0,8,5,3,2,10,SM02
MH280,U301,4.0,8,4,3,5,10,SM01
MH281,U302,6.4,,7,2,1,7,SM01
MH282,U303,7.0,5,6,3,4,8,SM03
MH283,U304,7.7,4,7,2,1,7,SM01
MH284,U306,5.3,6,6,6,2,10,SM03
MH285,U307,6.2,5,7,1,3,7,SM04
MH286,U308,7.8,5,9,2,2,6,SM03
MH287,U309,5.0,5,6,0,4,8,SM01
MH288,U310,6.2,8,9,0,4,7,SM04
MH289,U311,4.9,7,6,3,3,9,SM04
MH290,U312,4.5,7,6,2,1,9,SM04
MH291,U313,,5,8,7,1,,SM03
MH292,U314,4.3,7,7,2,1,8,SM05
MH293,U315,5.3,6,6,6,0,9,SM01
MH294,U316,3.6,7,5,5,4,10,SM04
MH295,U317,5.2,7,8,3,,,SM02
MH296,U318,,5,8,7,,8,SM05
MH297,U319,4.4,8,7,4,5,8,SM02
MH298,U320,5.5,9,5,6,2,10,SM01
MH299,U321,5.8,6,,6,1,,SM01
MH300,U322,,6,6,4,2,8,SM04
MH301,U324,7.5,7,8,,,,SM03
MH302,U325,,,3,,2,10,SM05
MH303,U326,10.8,2,9,3,2,5,SM05
MH304,U327,3.9,6,4,5,2,9,SM04
MH305,U328,6.2,6,7,6,2,8,SM01
MH306,U329,3.8,7,4,2,3,10,SM04
MH307,U331,6.0,8,7,3,2,7,SM01
MH308,U332,4.3,6,3,,,10,SM04
MH309,U333,7.4,4,9,4,2,,SM06
MH310,U334,5.2,,,,3,10,SM05
MH311,U335,6.5,7,7,,1,7,SM02
MH312,U336,,8,6,6,4,,SM01
MH313,U337,5.4,6,7,,3,8,SM01
MH314,U338,9.1,4,9,4,2,7,SM06
MH315,U339,7.2,5,10,7,3,7,SM02
MH316,U340,6.1,7,7,5,2,9,SM03
MH317,U341,4.7,6,7,3,0,8,SM06
MH318,U342,,,6,1,3,7,SM02
MH319,U343,5.9,7,7,1,1,8,SM06
MH320,U344,6.3,5,9,5,4,8,SM01
MH321,U345,3.6,6,5,2,2,10,SM05
MH322,U346,6.7,6,8,1,4,8,SM06
MH323,U347,3.5,7,6,1,2,10,SM03
MH324,U348,8.4,5,,2,3,8,SM04
MH325,U349,4.1,8,4,5,4,10,SM02
MH326,U350,6.0,6,7,3,2,8,SM06
MH327,U351,7.3,5,9,0,2,8,SM06
MH328,U352,5.0,6,5,3,3,9,SM03
MH329,U353,6.1,6,8,3,,,SM05
MH330,U354,8.1,5,9,2,2,6,SM06
MH331,U355,6.5,5,5,5,0,10,SM06
MH332,U356,6.1,6,6,2,2,8,SM05
MH333,U357,2.5,,4,5,,10,SM03
MH334,U358,3.8,8,5,4,1,10,SM02
MH335,U359,7.4,6,7,5,2,7,SM02
MH336,U360,6.5,5,7,1,2,8,SM06
MH337,U361,6.8,4,9,3,0,7,SM05
MH338,U364,5.0,8,6,5,0,10,SM02
MH339,U365,5.7,7,7,1,3,9,SM01
MH340,U366,3.6,8,5,2,1,10,SM04
MH341,U367,3.2,9,5,1,3,10,SM06
MH342,U368,2.5,8,4,4,4,10,SM03
MH343,U369,3.9,6,5,0,2,10,SM02
MH344,U370,8.3,5,8,4,2,7,SM01
MH345,U371,2.7,9,5,5,1,10,SM04
MH346,U372,5.0,7,5,,0,9,SM02
MH347,U373,3.2,9,6,4,5,10,SM05
MH348,U374,4.4,7,7,5,1,8,SM03
MH349,U375,5.8,6,,,5,9,SM04
MH350,U376,4.2,8,5,6,1,10,SM05
MH351,U377,7.5,4,7,2,3,6,SM06
MH352,U378,,4,10,3,,6,SM05
MH353,U379,1.5,9,3,2,3,10,SM04
MH354,U380,4.3,8,7,4,2,10,SM04
MH355,U381,5.6,6,7,2,2,9,SM06
MH356,U382,7.5,4,8,3,3,,SM05
MH357,U383,4.7,6,6,1,2,9,SM05
MH358,U384,5.5,7,5,5,0,10,SM06
MH359,U385,3.4,,6,4,4,,SM05
MH360,U386,2.7,8,5,2,1,9,SM02
MH361,U387,8.1,5,7,2,3,7,SM06
MH362,U388,2.2,9,4,4,4,10,SM03
MH363,U390,6.8,5,8,3,4,8,SM03
MH364,U391,6.7,7,7,5,3,8,SM02
MH365,U393,5.0,5,6,4,5,8,SM01
MH366,U394,6.2,6,7,4,1,9,SM01
MH367,U395,5.2,7,7,3,,,SM01
MH368,U396,6.5,5,7,2,2,8,SM06
MH369,U397,5.4,8,9,5,3,8,SM05
MH370,U398,3.8,8,4,2,4,10,SM02
MH371,U399,3.9,7,5,0,4,10,SM03
MH372,U400,3.7,8,5,4,3,10,SM03
MH373,U401,7.2,5,8,1,2,9,SM03
MH374,U402,4.4,7,5,4,0,10,SM03
MH375,U403,2.1,10,5,6,1,10,SM01
MH376,U404,6.2,6,8,4,5,7,SM03
MH377,U405,8.2,4,9,5,0,6,SM05
MH378,U406,6.9,3,8,7,1,6,SM01
MH379,U407,,,6,5,4,10,SM03
MH380,U408,2.6,10,3,4,3,10,SM06
MH381,U410,,4,7,7,,9,SM04
MH382,U411,3.8,7,6,7,5,,SM04
MH383,U412,6.5,7,7,2,3,10,SM01
MH384,U413,8.8,5,9,0,3,6,SM03
MH385,U414,5.9,5,6,2,1,9,SM02
MH386,U415,5.8,6,7,,3,,SM02
MH387,U417,8.0,4,8,3,2,9,SM01
MH388,U418,,4,5,,,10,SM05
MH389,U419,4.5,8,5,0,4,10,SM06
MH390,U420,5.6,8,8,3,5,8,SM06
MH391,U421,6.3,4,9,5,5,6,SM04
MH392,U422,5.8,7,8,4,4,8,SM04
MH393,U423,7.7,5,8,4,0,8,SM02
MH394,U425,5.0,7,6,3,4,10,SM04
MH395,U426,6.2,6,9,2,1,8,SM03
MH396,U427,6.4,6,8,5,,8,SM05
MH397,U428,3.2,7,5,5,1,9,SM05
MH398,U429,7.6,6,9,4,3,8,SM05
MH399,U430,5.0,6,5,3,1,10,SM05
MH400,U431,5.0,6,6,3,1,10,SM04
MH401,U432,6.9,,,,4,7,SM06
MH402,U433,6.8,5,8,5,4,7,SM04
MH403,U434,4.2,,7,,3,7,SM05
MH404,U435,6.9,7,7,0,2,9,SM04
MH405,U436,4.5,8,5,5,0,10,SM05
MH406,U437,8.8,2,9,4,2,7,SM01
MH407,U438,4.0,7,5,1,3,9,SM02
MH408,U439,5.9,7,6,1,2,,SM06
MH409,U440,4.1,6,6,4,2,9,SM01
MH410,U441,9.5,4,9,,2,4,SM03
MH411,U442,3.3,8,4,7,2,10,SM04
MH412,U443,6.4,5,6,5,3,6,SM03
MH413,U444,4.2,8,4,4,2,10,SM04
MH414,U445,4.9,7,7,4,5,7,SM02
MH415,U446,6.3,6,7,6,0,8,SM01
MH416,U447,7.7,4,8,5,2,8,SM02
MH417,U448,8.4,5,9,4,1,7,SM05
MH418,U449,2.7,6,6,1,3,8,SM02
MH419,U450,6.0,4,6,,3,8,SM02
MH420,U451,8.1,5,9,1,,7,SM05
MH421,U453,6.1,6,8,0,1,6,SM05
MH422,U454,5.5,6,5,4,3,10,SM01
MH423,U455,6.2,6,6,3,3,6,SM02
MH424,U456,,6,,5,1,9,SM05
MH425,U457,2.9,8,3,0,3,10,SM02
MH426,U458,2.1,9,4,5,2,10,SM01
MH427,U459,7.3,5,8,1,1,7,SM03
MH428,U460,7.5,6,8,3,2,6,SM01
MH429,U461,6.0,6,5,5,1,9,SM06
MH430,U462,,7,8,,4,8,SM06
MH431,U463,2.6,9,5,4,5,10,SM06
MH432,U464,6.5,5,10,5,3,5,SM02
MH433,U465,3.5,8,5,,3,10,SM04
MH434,U467,4.4,7,7,3,4,8,SM04
MH435,U468,5.1,6,6,3,4,9,SM02
MH436,U469,4.1,6,7,1,2,10,SM01
MH437,U470,5.6,6,6,5,3,8,SM04
MH438,U471,4.4,5,,4,3,7,SM03
MH439,U472,6.8,5,4,3,1,10,SM06
MH440,U474,5.7,7,5,3,5,10,SM06
MH441,U475,6.3,7,7,3,4,8,SM04
MH442,U476,,3,8,,,6,SM01
MH443,U477,3.4,8,5,4,0,10,SM05
MH444,U478,,,6,4,4,10,SM03
MH445,U479,6.8,6,8,2,1,9,SM04
MH446,U480,9.0,4,10,,3,,SM04
MH447,U481,5.0,7,8,2,5,7,SM03
MH448,U482,8.6,4,8,2,2,4,SM03
MH449,U483,5.7,6,6,0,2,8,SM05
MH450,U484,4.3,7,,3,,10,SM04
MH451,U485,3.7,7,7,0,1,9,SM02
MH452,U486,6.6,6,,,1,,SM04
MH453,U487,3.9,8,5,2,3,10,SM06
MH454,U488,5.6,7,7,5,2,8,SM01
MH455,U489,8.4,5,9,1,3,7,SM01
MH456,U490,4.9,7,7,1,7,10,SM06
MH457,U491,7.9,5,,2,3,,SM01
MH458,U493,4.5,5,7,6,5,9,SM01
MH459,U494,3.0,7,2,1,0,10,SM01
MH460,U495,5.6,8,,,0,10,SM06
MH461,U497,5.6,7,6,5,2,9,SM01
MH462,U499,4.2,9,7,0,2,9,SM01
MH463,U500,5.9,5,8,3,3,7,SM05
