User_ID,Daily_Screen_Time(hrs),Happiness_Index(1-10),Platform_ID
U351,7.3,8,SM06
U352,5.0,9,SM03
U354,8.1,6,SM06
U355,6.5,10,SM06
U356,6.1,8,SM05
U357,2.5,10,SM03
U358,3.8,10,SM02
U359,7.4,7,SM02
U360,6.5,8,SM06
U361,6.8,7,SM05
U364,5.0,10,SM02
U365,5.7,9,SM01
U366,3.6,10,SM04
U367,3.2,10,SM06
U368,2.5,10,SM03
U369,3.9,10,SM02
U370,8.3,7,SM01
U371,2.7,10,SM04
U372,5.0,9,SM02
U373,3.2,10,SM05
U374,4.4,8,SM03
U375,5.8,9,SM04
U376,4.2,10,SM05
U377,7.5,6,SM06
U379,1.5,10,SM04
U380,4.3,10,SM04
U381,5.6,9,SM06
U383,4.7,9,SM05
U384,5.5,10,SM06
U386,2.7,9,SM02
U387,8.1,7,SM06
U388,2.2,10,SM03
U390,6.8,8,SM03
U391,6.7,8,SM02
U393,5.0,8,SM01
U394,6.2,9,SM01
U396,6.5,8,SM06
U397,5.4,8,SM05
U398,3.8,10,SM02
U399,3.9,10,SM03
U400,3.7,10,SM03
U401,7.2,9,SM03
U402,4.4,10,SM03
U403,2.1,10,SM01
U404,6.2,7,SM03
U405,8.2,6,SM05
U406,6.9,6,SM01
U408,2.6,10,SM06
U412,6.5,10,SM01
U413,8.8,6,SM03
U414,5.9,9,SM02
U417,8.0,9,SM01
U419,4.5,10,SM06
U420,5.6,8,SM06
U421,6.3,6,SM04
U422,5.8,8,SM04
U423,7.7,8,SM02
U425,5.0,10,SM04
U426,6.2,8,SM03
U427,6.4,8,SM05
U428,3.2,9,SM05
U429,7.6,8,SM05
U430,5.0,10,SM05
U431,5.0,10,SM04
U432,6.9,7,SM06
U433,6.8,7,SM04
U434,4.2,7,SM05
U435,6.9,9,SM04
U436,4.5,10,SM05
U437,8.8,7,SM01
U438,4.0,9,SM02
U440,4.1,9,SM01
U441,9.5,4,SM03
U442,3.3,10,SM04
U443,6.4,6,SM03
U444,4.2,10,SM04
U445,4.9,7,SM02
U446,6.3,8,SM01
U447,7.7,8,SM02
U448,8.4,7,SM05
U449,2.7,8,SM02
U450,6.0,8,SM02
U451,8.1,7,SM05
U453,6.1,6,SM05
U454,5.5,10,SM01
U455,6.2,6,SM02
U457,2.9,10,SM02
U458,2.1,10,SM01
U459,7.3,7,SM03
U460,7.5,6,SM01
U461,6.0,9,SM06
U463,2.6,10,SM06
U464,6.5,5,SM02
U465,3.5,10,SM04
U467,4.4,8,SM04
U468,5.1,9,SM02
U469,4.1,10,SM01
U470,5.6,8,SM04
U471,4.4,7,SM03
U472,6.8,10,SM06
U474,5.7,10,SM06
U475,6.3,8,SM04
U477,3.4,10,SM05
U479,6.8,9,SM04
U481,5.0,7,SM03
U482,8.6,4,SM03
U483,5.7,8,SM05
U484,4.3,10,SM04
U485,3.7,9,SM02
U487,3.9,10,SM06
U488,5.6,8,SM01
U489,8.4,7,SM01
U490,4.9,10,SM06
U493,4.5,9,SM01
U494,3.0,10,SM01
U495,5.6,10,SM06
U497,5.6,9,SM01
U499,4.2,9,SM01
U500,5.9,7,SM05
