User_ID,Age,Gender,Platform_ID,Happiness_Index(1-10)
U288,47,Male,SM06,9
U289,38,Female,SM06,6
U290,37,Female,SM01,9
U292,37,Male,SM02,8
U293,37,Other,SM05,10
U294,21,Male,SM05,10
U295,30,Female,SM04,10
U296,48,Female,SM06,7
U297,23,Female,SM06,8
U298,20,Male,SM03,5
U299,19,Female,SM01,9
U300,21,Female,SM02,10
U301,47,Female,SM01,10
U303,31,Female,SM03,8
U304,28,Female,SM01,7
U306,34,Female,SM03,10
U307,32,Female,SM04,7
U308,34,Male,SM03,6
U309,43,Female,SM01,8
U310,41,Female,SM04,7
U311,41,Female,SM04,9
U312,38,Male,SM04,9
U314,27,Other,SM05,8
U315,16,Female,SM01,9
U316,16,Male,SM04,10
U318,47,Female,SM05,8
U319,40,Female,SM02,8
U320,16,Female,SM01,10
U325,18,Male,SM05,10
U326,27,Male,SM05,5
U327,41,Male,SM04,9
U328,31,Female,SM01,8
U329,37,Female,SM04,10
U331,29,Male,SM01,7
U332,43,Female,SM04,10
U334,45,Male,SM05,10
U338,41,Female,SM06,7
U339,41,Male,SM02,7
U340,36,Female,SM03,9
U341,48,Male,SM06,8
U342,45,Female,SM02,7
U343,38,Female,SM06,8
U344,25,Male,SM01,8
U345,20,Female,SM05,10
U346,49,Male,SM06,8
U347,46,Other,SM03,10
U349,34,Male,SM02,10
U350,47,Male,SM06,8
U351,16,Other,SM06,8
U352,20,Female,SM03,9
U354,31,Male,SM06,6
U355,39,Female,SM06,10
U356,31,Male,SM05,8
U357,17,Female,SM03,10
U358,43,Male,SM02,10
U359,47,Male,SM02,7
U360,42,Male,SM06,8
U361,35,Female,SM05,7
U364,48,Female,SM02,10
U365,48,Male,SM01,9
U366,27,Female,SM04,10
U367,18,Male,SM06,10
U368,16,Male,SM03,10
U369,48,Female,SM02,10
U370,25,Male,SM01,7
U371,44,Male,SM04,10
U373,27,Other,SM05,10
U374,46,Male,SM03,8
U375,17,Male,SM04,9
U376,38,Female,SM05,10
U377,32,Male,SM06,6
U378,41,Male,SM05,6
U379,23,Male,SM04,10
U380,44,Female,SM04,10
U381,41,Female,SM06,9
U383,41,Male,SM05,9
U384,49,Male,SM06,10
U386,19,Male,SM02,9
U387,26,Male,SM06,7
U388,44,Female,SM03,10
U390,36,Female,SM03,8
U391,25,Male,SM02,8
U393,39,Male,SM01,8
U394,33,Female,SM01,9
U396,39,Female,SM06,8
U397,38,Male,SM05,8
U398,47,Female,SM02,10
U399,27,Male,SM03,10
U400,28,Male,SM03,10
U401,38,Female,SM03,9
U402,40,Male,SM03,10
U403,45,Male,SM01,10
U404,32,Male,SM03,7
U405,35,Male,SM05,6
U406,40,Male,SM01,6
U407,37,Female,SM03,10
U408,28,Male,SM06,10
U412,27,Male,SM01,10
U413,24,Male,SM03,6
U414,22,Female,SM02,9
U417,46,Male,SM01,9
U418,34,Female,SM05,10
U419,31,Male,SM06,10
U420,20,Male,SM06,8
U421,27,Other,SM04,6
U422,40,Female,SM04,8
U423,36,Male,SM02,8
U425,31,Female,SM04,10
U426,29,Female,SM03,8
U428,20,Male,SM05,9
U429,38,Male,SM05,8
U430,44,Male,SM05,10
U431,26,Female,SM04,10
U432,33,Female,SM06,7
U433,27,Male,SM04,7
U435,25,Female,SM04,9
U436,32,Other,SM05,10
U437,22,Female,SM01,7
U438,28,Male,SM02,9
U440,42,Male,SM01,9
U441,17,Female,SM03,4
U442,20,Male,SM04,10
U443,44,Female,SM03,6
U444,34,Male,SM04,10
U445,23,Female,SM02,7
U446,16,Female,SM01,8
U447,37,Female,SM02,8
U448,32,Male,SM05,7
U449,22,Male,SM02,8
U450,40,Male,SM02,8
U451,19,Female,SM05,7
U453,46,Female,SM05,6
U454,34,Female,SM01,10
U455,42,Female,SM02,6
U456,25,Male,SM05,9
U457,41,Female,SM02,10
U458,34,Male,SM01,10
U459,18,Male,SM03,7
U460,28,Female,SM01,6
U461,43,Male,SM06,9
U462,35,Male,SM06,8
U463,43,Female,SM06,10
U464,23,Male,SM02,5
U467,28,Male,SM04,8
U468,43,Male,SM02,9
U469,40,Male,SM01,10
U470,48,Female,SM04,8
U472,47,Female,SM06,10
U474,31,Female,SM06,10
U475,36,Female,SM04,8
U476,26,Female,SM01,6
U477,34,Male,SM05,10
U478,35,Male,SM03,10
U479,33,Male,SM04,9
U481,30,Male,SM03,7
U482,46,Female,SM03,4
U483,16,Female,SM05,8
U484,18,Male,SM04,10
U485,31,Female,SM02,9
U487,26,Male,SM06,10
U488,27,Female,SM01,8
U489,25,Female,SM01,7
U490,47,Female,SM06,10
U493,27,Female,SM01,9
U494,39,Female,SM01,10
U495,43,Female,SM06,10
U497,43,Female,SM01,9
U499,23,Male,SM01,9
U500,43,Female,SM05,7
