;User_ID;Social_Media_Platform;Daily_Screen_Time(hrs);Sleep_Quality(1-10);Stress_Level(1-10);Days_Without_Social_Media;Exercise_Frequency(week);Happiness_Index(1-10)
82;U083;SM04;;7;;7;2;8
83;U084;SM05;7,5;4;7;2;4;8
84;U085;SM02;4;7;;2;5;
85;U086;SM04;5,7;5;6;3;2;9
87;U088;SM05;3,2;8;7;3;1;10
88;U089;SM06;7,1;3;8;6;5;6
89;U090;SM05;3,8;10;6;5;0;10
91;U092;SM02;5,5;6;6;4;2;9
92;U093;SM02;6,8;7;6;6;2;9
93;U094;SM05;;7;7;;1;8
95;U096;SM04;3,9;7;6;2;3;10
96;U097;SM01;7,7;4;7;2;3;8
97;U098;SM01;6,1;4;9;0;4;6
98;U099;SM02;7,9;5;8;0;2;8
99;U100;SM01;3,5;8;4;3;3;10
100;U101;SM06;2,5;9;4;6;3;10
101;U102;SM01;6,3;;7;2;2;7
102;U103;SM06;5,9;4;7;2;4;7
103;U104;SM01;6;6;7;6;2;9
105;U106;SM02;6,3;7;8;0;2;6
106;U107;SM06;6,2;7;7;1;3;9
107;U108;SM05;6,8;7;7;2;1;10
108;U109;SM02;6,4;6;8;0;1;7
109;U110;SM05;7;6;6;3;2;8
110;U111;SM04;7,3;4;6;5;4;8
111;U112;SM06;8,3;5;10;0;2;6
112;U113;SM02;4,3;6;8;3;5;9
114;U115;SM04;4,8;7;6;3;3;10
115;U116;SM05;4;9;5;3;2;10
116;U117;SM02;4,3;7;6;3;4;9
117;U118;SM06;;6;7;1;10;9
118;U119;SM01;6,3;6;7;6;4;9
119;U120;SM03;6,2;5;8;5;3;8
120;U121;SM05;5,1;6;5;5;2;9
121;U122;SM04;5,5;8;6;5;2;10
122;U123;SM06;7;4;6;0;5;8
123;U124;SM03;2,8;7;5;5;3;10
124;U125;SM06;5,5;7;7;;1;9
125;U126;SM02;5,7;7;7;0;1;9
126;U127;SM01;6,9;5;;;3;8
127;U128;SM04;3,1;7;6;4;3;9
128;U129;SM06;8,2;5;7;6;4;7
129;U130;SM05;5,9;5;5;4;0;9
130;U131;SM02;6;5;8;1;1;7
131;U132;SM02;;8;4;6;4;10
133;U134;SM02;5,6;8;6;2;3;9
134;U135;SM05;7,7;4;10;2;1;8
135;U136;SM06;2,9;8;5;0;1;10
136;U137;SM04;5,8;6;7;3;4;10
137;U138;SM02;6,2;5;8;4;;
138;U139;SM02;5,2;7;5;2;1;10
139;U140;SM05;4,8;8;5;4;1;10
140;U141;SM01;4,8;6;5;1;;10
141;U142;SM01;5,8;6;6;3;1;10
142;U143;SM02;2,2;10;5;4;1;10
143;U144;SM06;7,2;7;8;3;1;8
144;U145;SM04;4,6;8;7;0;2;9
145;U146;SM02;5,7;7;5;2;1;10
146;U147;SM03;6,2;5;7;6;1;9
147;U148;SM04;4,6;7;5;2;3;10
148;U149;SM01;5,3;7;6;3;2;
149;U150;SM02;1,8;9;7;3;3;10
150;U151;SM05;6,8;5;8;6;0;6
151;U152;SM03;7,4;4;9;6;3;5
152;U153;SM02;2,4;7;7;5;6;9
153;U154;SM06;4,8;5;;1;;8
155;U156;SM02;5,2;7;5;4;4;10
156;U157;SM06;6,7;5;7;2;4;8
157;U158;SM03;7,3;5;7;1;3;8
158;U159;SM06;7,5;5;6;6;3;7
159;U160;SM06;7,9;5;9;2;4;5
160;U161;SM03;5,1;5;7;6;3;8
161;U162;SM03;3,4;9;7;5;1;8
162;U163;SM06;5,3;7;6;4;0;10
163;U164;SM01;6,6;6;8;4;0;8
164;U165;SM03;3,3;9;5;0;2;10
165;U166;SM02;8,5;4;10;3;3;8
166;U167;SM04;7,1;6;8;6;1;7
167;U168;SM05;5,1;6;5;4;4;10
168;U169;SM06;4,2;8;6;3;2;10
169;U170;SM06;4,3;8;6;6;2;10
170;U171;SM05;5,6;5;7;3;1;6
171;U172;SM01;5,1;7;7;2;0;7
172;U173;SM05;;6;6;3;3;8
174;U175;SM05;6,4;6;8;0;2;8
175;U176;SM06;5,4;6;6;4;0;10
176;U177;SM05;6;;;5;4;8
177;U178;SM04;5,1;7;4;2;0;9
178;U179;SM02;6,8;5;10;5;1;7
179;U180;SM03;6,8;4;7;4;2;7
180;U181;SM05;6,3;6;;7;3;6
181;U182;SM06;6,6;6;7;1;1;8
182;U183;SM02;;10;6;5;7;10
183;U184;SM03;6,1;7;9;1;4;7
184;U185;SM06;7,7;3;9;0;4;5
185;U186;SM01;6,4;6;7;;4;
186;U187;SM04;3,6;9;5;4;5;10
187;U188;SM01;5,4;7;8;3;4;7
188;U189;SM04;6,2;6;9;2;2;6
189;U190;SM05;4,1;8;6;0;4;10
190;U191;SM03;3,1;7;7;2;3;9
191;U192;SM05;4,9;7;6;3;3;10
192;U193;SM04;4,2;7;7;5;3;
193;U194;SM04;5,5;6;8;3;1;
194;U195;SM04;2,6;9;4;;1;10
195;U196;SM02;6,5;5;7;2;2;8
196;U197;SM06;4,4;8;7;6;3;10
197;U198;SM03;7,3;5;7;1;1;6
198;U199;SM05;5;7;5;2;3;10
199;U200;SM05;5,5;5;6;2;6;9
200;U201;SM01;5,2;7;6;4;0;10
201;U202;SM04;4,3;9;7;1;3;9
202;U203;SM04;10;3;10;3;2;4
203;U204;SM04;4,6;6;7;3;11;
204;U205;SM05;7,3;;8;2;2;7
205;U206;SM01;3,5;9;5;4;2;10
206;U207;SM06;6,2;4;8;1;3;7
207;U208;SM02;6,4;5;8;1;2;7
208;U209;SM03;5,5;6;;3;0;9
209;U210;SM06;;;6;;2;9
210;U211;SM05;5;6;6;0;0;8
212;U213;SM02;9,8;4;9;5;0;6
213;U214;SM02;5,5;7;7;2;4;9
214;U215;SM04;6,4;4;6;2;3;7
215;U216;SM03;8,7;6;7;5;3;10
216;U217;SM05;3,9;9;5;1;0;10
217;U218;SM05;5,6;6;6;0;2;8
218;U219;SM02;5;8;6;4;4;10
219;U220;SM05;5,3;6;6;3;2;9
221;U222;SM03;4,2;6;6;0;2;8
222;U223;SM01;;8;6;0;2;
223;U224;SM01;3,6;7;5;3;1;10
224;U225;SM06;7,3;5;9;4;4;5
225;U226;SM03;6,6;5;7;5;2;7
226;U227;SM03;4,6;9;6;3;2;8
227;U228;SM03;4,7;9;;3;;10
228;U229;SM01;6;8;7;2;3;9
229;U230;SM02;4,1;8;5;;3;
230;U231;SM02;8,8;4;8;1;1;6
231;U232;SM05;;7;6;4;10;8
232;U233;SM02;6,2;6;8;1;3;8
233;U234;SM04;6,7;7;7;4;2;8
234;U235;SM01;4,5;8;6;1;3;10
235;U236;SM03;7,5;4;9;4;5;5
236;U237;SM02;5,7;7;7;3;2;9
237;U238;SM01;7,2;6;8;6;2;
238;U239;SM02;5,1;4;;2;8;9
239;U240;SM06;7,9;6;8;4;2;7
240;U241;SM03;6,2;5;7;1;3;8
241;U242;SM06;9,4;3;9;2;3;5
242;U243;SM03;4,8;6;5;3;5;10
243;U244;SM01;5,9;6;8;0;3;7
244;U245;SM05;3,6;8;5;0;2;10
245;U246;SM02;4,5;6;6;4;1;9
246;U247;SM02;6,6;6;7;3;3;7
247;U248;SM04;7,5;6;9;;1;6
248;U249;SM06;10,8;5;10;2;3;4
249;U250;SM02;5,3;5;;2;9;8
250;U251;SM01;3,8;7;5;3;2;9
251;U252;SM05;6,9;6;8;4;2;8
252;U253;SM01;3,5;9;4;0;0;10
253;U254;SM06;6,5;;;6;;8
254;U255;SM04;4,6;8;7;6;3;9
255;U256;SM02;5,9;4;7;0;3;5
256;U257;SM01;7,5;4;8;5;0;7
257;U258;SM03;5,3;7;8;5;5;9
258;U259;SM05;7,2;4;7;3;2;6
259;U260;SM01;7,1;4;8;0;2;7
260;U261;SM05;2,1;8;4;5;1;10
261;U262;SM02;3,9;8;6;;;10
262;U263;SM03;2,7;6;3;;4;
263;U264;SM04;9,1;4;9;7;4;4
264;U265;SM04;5,3;7;7;4;2;8
265;U266;SM03;8,7;4;8;;;7
267;U268;SM02;4,5;7;6;1;2;8
268;U269;SM01;6,9;5;;;1;6
269;U270;SM03;5,8;8;6;1;2;10
270;U271;SM06;6,5;5;6;2;3;8
271;U272;SM05;3,2;;6;0;8;
272;U273;SM04;8;5;8;3;3;6
273;U274;SM03;6,9;5;7;3;0;9
274;U275;SM04;6,2;3;8;0;3;5
275;U276;SM05;4,3;7;5;4;2;10
276;U277;SM04;6,1;7;8;3;5;9
277;U278;SM03;5;7;6;1;;10
278;U279;SM05;2,5;;5;7;5;10
279;U280;SM06;5,4;5;8;5;2;7
282;U283;SM02;1,5;9;4;5;5;10
283;U284;SM03;5,9;6;9;3;2;7
284;U285;SM05;3,4;7;7;4;2;10
285;U286;SM02;6,1;5;6;4;3;9
286;U287;SM03;6,2;6;8;0;3;7
287;U288;SM06;5,3;6;6;3;4;9
288;U289;SM06;7;4;8;3;2;6
289;U290;SM01;3,3;7;5;6;4;9
290;U291;SM04;7,5;;7;;4;
291;U292;SM02;4,2;9;7;2;2;8
292;U293;SM05;2,7;8;5;3;3;10
293;U294;SM05;5;7;6;5;2;10
294;U295;SM04;1,7;9;4;3;6;10
295;U296;SM06;6;5;7;2;0;7
296;U297;SM06;5;5;7;2;4;8
297;U298;SM03;7,7;4;8;5;0;5
298;U299;SM01;6,7;6;5;4;2;9
299;U300;SM02;3;8;5;3;2;10
300;U301;SM01;4;8;4;3;5;10
301;U302;SM01;6,4;;7;2;1;7
302;U303;SM03;7;5;6;3;4;8
303;U304;SM01;7,7;4;7;2;1;7
305;U306;SM03;5,3;6;6;6;2;10
306;U307;SM04;6,2;5;7;1;3;7
307;U308;SM03;7,8;5;9;2;2;6
308;U309;SM01;5;5;6;0;4;8
309;U310;SM04;6,2;8;9;0;4;7
310;U311;SM04;4,9;7;6;3;3;9
311;U312;SM04;4,5;7;6;2;1;9
312;U313;SM03;;5;8;7;1;
313;U314;SM05;4,3;7;7;2;1;8
314;U315;SM01;5,3;6;6;6;0;9
315;U316;SM04;3,6;7;5;5;4;10
316;U317;SM02;5,2;7;8;3;8;
317;U318;SM05;;5;8;7;;8
318;U319;SM02;4,4;8;7;4;5;8
319;U320;SM01;5,5;9;5;6;2;10
320;U321;SM01;5,8;6;;6;1;
321;U322;SM04;;6;6;4;2;8
323;U324;SM03;7,5;7;8;;8;
324;U325;SM05;;;3;;2;10
325;U326;SM05;10,8;2;9;3;2;5
326;U327;SM04;3,9;6;4;5;2;9
327;U328;SM01;6,2;6;7;6;2;8
328;U329;SM04;3,8;7;4;2;3;10
330;U331;SM01;6;8;7;3;2;7
331;U332;SM04;4,3;6;3;;6;10
332;U333;SM06;7,4;4;9;4;2;
333;U334;SM05;5,2;;;;3;10
334;U335;SM02;6,5;7;7;;1;7
335;U336;SM01;;8;6;6;4;
336;U337;SM01;5,4;6;7;;3;8
337;U338;SM06;9,1;4;9;4;2;7
338;U339;SM02;7,2;5;10;7;3;7
339;U340;SM03;6,1;7;7;5;2;9
340;U341;SM06;4,7;6;7;3;0;8
341;U342;SM02;;;6;1;3;7
342;U343;SM06;5,9;7;7;1;1;8
343;U344;SM01;6,3;5;9;5;4;8
344;U345;SM05;3,6;6;5;2;2;10
345;U346;SM06;6,7;6;8;1;4;8
346;U347;SM03;3,5;7;6;1;2;10
347;U348;SM04;8,4;5;;2;3;8
348;U349;SM02;4,1;8;4;5;4;10
349;U350;SM06;6;6;7;3;2;8
350;U351;SM06;7,3;5;9;0;2;8
351;U352;SM03;5;6;5;3;3;9
352;U353;SM05;6,1;6;8;3;8;
353;U354;SM06;8,1;5;9;2;2;6
354;U355;SM06;6,5;5;5;5;0;10
355;U356;SM05;6,1;6;6;2;2;8
356;U357;SM03;2,5;;4;5;;10
357;U358;SM02;3,8;8;5;4;1;10
358;U359;SM02;7,4;6;7;5;2;7
359;U360;SM06;6,5;5;7;1;2;8
360;U361;SM05;6,8;4;9;3;0;7
363;U364;SM02;5;8;6;5;0;10
364;U365;SM01;5,7;7;7;1;3;9
365;U366;SM04;3,6;8;5;2;1;10
366;U367;SM06;3,2;9;5;1;3;10
367;U368;SM03;2,5;8;4;4;4;10
368;U369;SM02;3,9;6;5;0;2;10
369;U370;SM01;8,3;5;8;4;2;7
370;U371;SM04;2,7;9;5;5;1;10
371;U372;SM02;5;7;5;;0;9
372;U373;SM05;3,2;9;6;4;5;10
373;U374;SM03;4,4;7;7;5;1;8
374;U375;SM04;5,8;6;;;5;9
375;U376;SM05;4,2;8;5;6;1;10
376;U377;SM06;7,5;4;7;2;3;6
377;U378;SM05;;4;10;3;;6
378;U379;SM04;1,5;9;3;2;3;10
379;U380;SM04;4,3;8;7;4;2;10
380;U381;SM06;5,6;6;7;2;2;9
381;U382;SM05;7,5;4;8;3;3;
382;U383;SM05;4,7;6;6;1;2;9
383;U384;SM06;5,5;7;5;5;0;10
384;U385;SM05;3,4;;6;4;4;
385;U386;SM02;2,7;8;5;2;1;9
386;U387;SM06;8,1;5;7;2;3;7
387;U388;SM03;2,2;9;4;4;4;10
389;U390;SM03;6,8;5;8;3;4;8
390;U391;SM02;6,7;7;7;5;3;8
392;U393;SM01;5;5;6;4;5;8
393;U394;SM01;6,2;6;7;4;1;9
394;U395;SM01;5,2;7;7;3;;
395;U396;SM06;6,5;5;7;2;2;8
396;U397;SM05;5,4;8;9;5;3;8
397;U398;SM02;3,8;8;4;2;4;10
398;U399;SM03;3,9;7;5;0;4;10
399;U400;SM03;3,7;8;5;4;3;10
400;U401;SM03;7,2;5;8;1;2;9
401;U402;SM03;4,4;7;5;4;0;10
402;U403;SM01;2,1;10;5;6;1;10
403;U404;SM03;6,2;6;8;4;5;7
404;U405;SM05;8,2;4;9;5;0;6
405;U406;SM01;6,9;3;8;7;1;6
406;U407;SM03;;;6;5;4;10
407;U408;SM06;2,6;10;3;4;3;10
409;U410;SM04;;4;7;7;12;9
410;U411;SM04;3,8;7;6;7;5;
411;U412;SM01;6,5;7;7;2;3;10
412;U413;SM03;8,8;5;9;0;3;6
413;U414;SM02;5,9;5;6;2;1;9
414;U415;SM02;5,8;6;7;;3;
416;U417;SM01;8;4;8;3;2;9
417;U418;SM05;;4;5;;;10
418;U419;SM06;4,5;8;5;0;4;10
419;U420;SM06;5,6;8;8;3;5;8
420;U421;SM04;6,3;4;9;5;5;6
421;U422;SM04;5,8;7;8;4;4;8
422;U423;SM02;7,7;5;8;4;0;8
424;U425;SM04;5;7;6;3;4;10
425;U426;SM03;6,2;6;9;2;1;8
426;U427;SM05;6,4;6;8;5;6;8
427;U428;SM05;3,2;7;5;5;1;9
428;U429;SM05;7,6;6;9;4;3;8
429;U430;SM05;5;6;5;3;1;10
430;U431;SM04;5;6;6;3;1;10
431;U432;SM06;6,9;;;;4;7
432;U433;SM04;6,8;5;8;5;4;7
433;U434;SM05;4,2;;7;;3;7
434;U435;SM04;6,9;7;7;0;2;9
435;U436;SM05;4,5;8;5;5;0;10
436;U437;SM01;8,8;2;9;4;2;7
437;U438;SM02;4;7;5;1;3;9
438;U439;SM06;5,9;7;6;1;2;
439;U440;SM01;4,1;6;6;4;2;9
440;U441;SM03;9,5;4;9;;2;4
441;U442;SM04;3,3;8;4;7;2;10
442;U443;SM03;6,4;5;6;5;3;6
443;U444;SM04;4,2;8;4;4;2;10
444;U445;SM02;4,9;7;7;4;5;7
445;U446;SM01;6,3;6;7;6;0;8
446;U447;SM02;7,7;4;8;5;2;8
447;U448;SM05;8,4;5;9;4;1;7
448;U449;SM02;2,7;6;6;1;3;8
449;U450;SM02;6;4;6;;3;8
450;U451;SM05;8,1;5;9;1;6;7
452;U453;SM05;6,1;6;8;0;1;6
453;U454;SM01;5,5;6;5;4;3;10
454;U455;SM02;6,2;6;6;3;3;6
455;U456;SM05;;6;;5;1;9
456;U457;SM02;2,9;8;3;0;3;10
457;U458;SM01;2,1;9;4;5;2;10
458;U459;SM03;7,3;5;8;1;1;7
459;U460;SM01;7,5;6;8;3;2;6
460;U461;SM06;6;6;5;5;1;9
461;U462;SM06;;7;8;;4;8
462;U463;SM06;2,6;9;5;4;5;10
463;U464;SM02;6,5;5;10;5;3;5
464;U465;SM04;3,5;8;5;;3;10
466;U467;SM04;4,4;7;7;3;4;8
467;U468;SM02;5,1;6;6;3;4;9
468;U469;SM01;4,1;6;7;1;2;10
469;U470;SM04;5,6;6;6;5;3;8
470;U471;SM03;4,4;5;;4;3;7
471;U472;SM06;6,8;5;4;3;1;10
473;U474;SM06;5,7;7;5;3;5;10
474;U475;SM04;6,3;7;7;3;4;8
475;U476;SM01;;3;8;;11;6
476;U477;SM05;3,4;8;5;4;0;10
477;U478;SM03;;;6;4;4;10
478;U479;SM04;6,8;6;8;2;1;9
479;U480;SM04;9;4;10;;3;
480;U481;SM03;5;7;8;2;5;7
481;U482;SM03;8,6;4;8;2;2;4
482;U483;SM05;5,7;6;6;0;2;8
483;U484;SM04;4,3;7;;3;12;10
484;U485;SM02;3,7;7;7;0;1;9
485;U486;SM04;6,6;6;;;1;
486;U487;SM06;3,9;8;5;2;3;10
487;U488;SM01;5,6;7;7;5;2;8
488;U489;SM01;8,4;5;9;1;3;7
489;U490;SM06;4,9;7;7;1;7;10
490;U491;SM01;7,9;5;;2;3;
492;U493;SM01;4,5;5;7;6;5;9
493;U494;SM01;3;7;2;1;0;10
494;U495;SM06;5,6;8;;;0;10
496;U497;SM01;5,6;7;6;5;2;9
498;U499;SM01;4,2;9;7;0;2;9
499;U500;SM05;5,9;5;8;3;3;7
