User_ID,Age,Gender
U480,29,
U481,30,Male
U482,46,Female
U483,16,Female
U484,18,Male
U485,31,Female
U486,38,Male
U487,26,Male
U488,27,Female
U489,25,Female
U490,47,Female
U491,31,Male
U493,27,Female
U494,39,Female
U495,43,Female
U497,43,Female
U499,23,Male
U500,43,Female
