User_ID,Days_Without_Social_Media,Sleep_Quality(1-10),Stress_Level(1-10),Happiness_Index(1-10),Platform_ID
U147,6,5,7,9,SM03
U148,2,7,5,10,SM04
U150,3,9,7,10,SM02
U151,6,5,8,6,SM05
U152,6,4,9,5,SM03
U153,5,7,7,9,SM02
U154,1,5,,8,SM06
U156,4,7,5,10,SM02
U157,2,5,7,8,SM06
U158,1,5,7,8,SM03
U159,6,5,6,7,SM06
U160,2,5,9,5,SM06
U161,6,5,7,8,SM03
U162,5,9,7,8,SM03
U163,4,7,6,10,SM06
U164,4,6,8,8,SM01
U165,0,9,5,10,SM03
U166,3,4,10,8,SM02
U167,6,6,8,7,SM04
U168,4,6,5,10,SM05
U169,3,8,6,10,SM06
U170,6,8,6,10,SM06
U171,3,5,7,6,SM05
U172,2,7,7,7,SM01
U173,3,6,6,8,SM05
U175,0,6,8,8,SM05
U176,4,6,6,10,SM06
U177,5,,,8,SM05
U178,2,7,4,9,SM04
U179,5,5,10,7,SM02
U180,4,4,7,7,SM03
U181,7,6,,6,SM05
U182,1,6,7,8,SM06
U183,5,10,6,10,SM02
U184,1,7,9,7,SM03
U185,0,3,9,5,SM06
U187,4,9,5,10,SM04
U188,3,7,8,7,SM01
U189,2,6,9,6,SM04
U190,0,8,6,10,SM05
U191,2,7,7,9,SM03
U192,3,7,6,10,SM05
U196,2,5,7,8,SM02
U197,6,8,7,10,SM06
U198,1,5,7,6,SM03
U199,2,7,5,10,SM05
U200,2,5,6,9,SM05
U201,4,7,6,10,SM01
U202,1,9,7,9,SM04
U203,3,3,10,4,SM04
U205,2,,8,7,SM05
U206,4,9,5,10,SM01
U207,1,4,8,7,SM06
U208,1,5,8,7,SM02
U209,3,6,,9,SM03
U211,0,6,6,8,SM05
U213,5,4,9,6,SM02
U214,2,7,7,9,SM02
U215,2,4,6,7,SM04
U216,5,6,7,10,SM03
U217,1,9,5,10,SM05
U218,0,6,6,8,SM05
U219,4,8,6,10,SM02
U220,3,6,6,9,SM05
U222,0,6,6,8,SM03
U224,3,7,5,10,SM01
U225,4,5,9,5,SM06
U226,5,5,7,7,SM03
U227,3,9,6,8,SM03
U228,3,9,,10,SM03
U229,2,8,7,9,SM01
U231,1,4,8,6,SM02
U232,4,7,6,8,SM05
U233,1,6,8,8,SM02
U234,4,7,7,8,SM04
U235,1,8,6,10,SM01
U236,4,4,9,5,SM03
U237,3,7,7,9,SM02
U239,2,4,,9,SM02
U240,4,6,8,7,SM06
U241,1,5,7,8,SM03
U242,2,3,9,5,SM06
U243,3,6,5,10,SM03
U244,0,6,8,7,SM01
U245,0,8,5,10,SM05
U246,4,6,6,9,SM02
U247,3,6,7,7,SM02
U249,2,5,10,4,SM06
U250,2,5,,8,SM02
U251,3,7,5,9,SM01
U252,4,6,8,8,SM05
U253,0,9,4,10,SM01
U254,6,,,8,SM06
U255,6,8,7,9,SM04
U256,0,4,7,5,SM02
U257,5,4,8,7,SM01
U258,5,7,8,9,SM03
U259,3,4,7,6,SM05
U260,0,4,8,7,SM01
U261,5,8,4,10,SM05
U264,7,4,9,4,SM04
U265,4,7,7,8,SM04
U268,1,7,6,8,SM02
U270,1,8,6,10,SM03
U271,2,5,6,8,SM06
U273,3,5,8,6,SM04
U274,3,5,7,9,SM03
U275,0,3,8,5,SM04
U276,4,7,5,10,SM05
U277,3,7,8,9,SM04
U278,1,7,6,10,SM03
U279,7,,5,10,SM05
U280,5,5,8,7,SM06
U283,5,9,4,10,SM02
U284,3,6,9,7,SM03
U285,4,7,7,10,SM05
U286,4,5,6,9,SM02
U287,0,6,8,7,SM03
U288,3,6,6,9,SM06
U289,3,4,8,6,SM06
U290,6,7,5,9,SM01
U292,2,9,7,8,SM02
U293,3,8,5,10,SM05
U294,5,7,6,10,SM05
U295,3,9,4,10,SM04
U296,2,5,7,7,SM06
U297,2,5,7,8,SM06
U298,5,4,8,5,SM03
U299,4,6,5,9,SM01
U300,3,8,5,10,SM02
U301,3,8,4,10,SM01
U302,2,,7,7,SM01
U303,3,5,6,8,SM03
U304,2,4,7,7,SM01
U306,6,6,6,10,SM03
U307,1,5,7,7,SM04
U308,2,5,9,6,SM03
U309,0,5,6,8,SM01
U310,0,8,9,7,SM04
U311,3,7,6,9,SM04
U312,2,7,6,9,SM04
U314,2,7,7,8,SM05
U315,6,6,6,9,SM01
U316,5,7,5,10,SM04
U318,7,5,8,8,SM05
U319,4,8,7,8,SM02
U320,6,9,5,10,SM01
U322,4,6,6,8,SM04
U326,3,2,9,5,SM05
U327,5,6,4,9,SM04
U328,6,6,7,8,SM01
U329,2,7,4,10,SM04
U331,3,8,7,7,SM01
U338,4,4,9,7,SM06
U339,7,5,10,7,SM02
U340,5,7,7,9,SM03
U341,3,6,7,8,SM06
U342,1,,6,7,SM02
U343,1,7,7,8,SM06
U344,5,5,9,8,SM01
U345,2,6,5,10,SM05
U346,1,6,8,8,SM06
U347,1,7,6,10,SM03
U348,2,5,,8,SM04
U349,5,8,4,10,SM02
U350,3,6,7,8,SM06
U351,0,5,9,8,SM06
U352,3,6,5,9,SM03
U354,2,5,9,6,SM06
U355,5,5,5,10,SM06
U356,2,6,6,8,SM05
U357,5,,4,10,SM03
U358,4,8,5,10,SM02
U359,5,6,7,7,SM02
U360,1,5,7,8,SM06
U361,3,4,9,7,SM05
U364,5,8,6,10,SM02
U365,1,7,7,9,SM01
U366,2,8,5,10,SM04
U367,1,9,5,10,SM06
U368,4,8,4,10,SM03
U369,0,6,5,10,SM02
U370,4,5,8,7,SM01
U371,5,9,5,10,SM04
U373,4,9,6,10,SM05
U374,5,7,7,8,SM03
U376,6,8,5,10,SM05
U377,2,4,7,6,SM06
U378,3,4,10,6,SM05
U379,2,9,3,10,SM04
U380,4,8,7,10,SM04
U381,2,6,7,9,SM06
U383,1,6,6,9,SM05
U384,5,7,5,10,SM06
U386,2,8,5,9,SM02
U387,2,5,7,7,SM06
U388,4,9,4,10,SM03
U390,3,5,8,8,SM03
U391,5,7,7,8,SM02
U393,4,5,6,8,SM01
U394,4,6,7,9,SM01
U396,2,5,7,8,SM06
U397,5,8,9,8,SM05
U398,2,8,4,10,SM02
U399,0,7,5,10,SM03
U400,4,8,5,10,SM03
U401,1,5,8,9,SM03
U402,4,7,5,10,SM03
U403,6,10,5,10,SM01
U404,4,6,8,7,SM03
U405,5,4,9,6,SM05
U406,7,3,8,6,SM01
U407,5,,6,10,SM03
U408,4,10,3,10,SM06
U410,7,4,7,9,SM04
U412,2,7,7,10,SM01
U413,0,5,9,6,SM03
U414,2,5,6,9,SM02
U417,3,4,8,9,SM01
U419,0,8,5,10,SM06
U420,3,8,8,8,SM06
U421,5,4,9,6,SM04
U422,4,7,8,8,SM04
U423,4,5,8,8,SM02
U425,3,7,6,10,SM04
U426,2,6,9,8,SM03
U427,5,6,8,8,SM05
U428,5,7,5,9,SM05
U429,4,6,9,8,SM05
U430,3,6,5,10,SM05
U431,3,6,6,10,SM04
U433,5,5,8,7,SM04
U435,0,7,7,9,SM04
U436,5,8,5,10,SM05
U437,4,2,9,7,SM01
U438,1,7,5,9,SM02
U440,4,6,6,9,SM01
U442,7,8,4,10,SM04
U443,5,5,6,6,SM03
U444,4,8,4,10,SM04
U445,4,7,7,7,SM02
U446,6,6,7,8,SM01
U447,5,4,8,8,SM02
U448,4,5,9,7,SM05
U449,1,6,6,8,SM02
U451,1,5,9,7,SM05
U453,0,6,8,6,SM05
U454,4,6,5,10,SM01
U455,3,6,6,6,SM02
U456,5,6,,9,SM05
U457,0,8,3,10,SM02
U458,5,9,4,10,SM01
U459,1,5,8,7,SM03
U460,3,6,8,6,SM01
U461,5,6,5,9,SM06
U463,4,9,5,10,SM06
U464,5,5,10,5,SM02
U467,3,7,7,8,SM04
U468,3,6,6,9,SM02
U469,1,6,7,10,SM01
U470,5,6,6,8,SM04
U471,4,5,,7,SM03
U472,3,5,4,10,SM06
U474,3,7,5,10,SM06
U475,3,7,7,8,SM04
U477,4,8,5,10,SM05
U478,4,,6,10,SM03
U479,2,6,8,9,SM04
U481,2,7,8,7,SM03
U482,2,4,8,4,SM03
U483,0,6,6,8,SM05
U484,3,7,,10,SM04
U485,0,7,7,9,SM02
U487,2,8,5,10,SM06
U488,5,7,7,8,SM01
U489,1,5,9,7,SM01
U490,1,7,7,10,SM06
U493,6,5,7,9,SM01
U494,1,7,2,10,SM01
U497,5,7,6,9,SM01
U499,0,9,7,9,SM01
U500,3,5,8,7,SM05
