User_ID,Exercise_Frequency(week),Sleep_Quality(1-10),Stress_Level(1-10),Platform_ID
U333,2,4,9,SM06
U335,1,7,7,SM02
U336,4,8,6,SM01
U337,3,6,7,SM01
U338,2,4,9,SM06
U339,3,5,10,SM02
U340,2,7,7,SM03
U341,0,6,7,SM06
U343,1,7,7,SM06
U344,4,5,9,SM01
U345,2,6,5,SM05
U346,4,6,8,SM06
U347,2,7,6,SM03
U349,4,8,4,SM02
U350,2,6,7,SM06
U351,2,5,9,SM06
U352,3,6,5,SM03
U354,2,5,9,SM06
U355,0,5,5,SM06
U356,2,6,6,SM05
U358,1,8,5,SM02
U359,2,6,7,SM02
U360,2,5,7,SM06
U361,0,4,9,SM05
U364,0,8,6,SM02
U365,3,7,7,SM01
U366,1,8,5,SM04
U367,3,9,5,SM06
U368,4,8,4,SM03
U369,2,6,5,SM02
U370,2,5,8,SM01
U371,1,9,5,SM04
U372,0,7,5,SM02
U373,5,9,6,SM05
U374,1,7,7,SM03
U376,1,8,5,SM05
U377,3,4,7,SM06
U379,3,9,3,SM04
U380,2,8,7,SM04
U381,2,6,7,SM06
U382,3,4,8,SM05
U383,2,6,6,SM05
U384,0,7,5,SM06
U386,1,8,5,SM02
U387,3,5,7,SM06
U388,4,9,4,SM03
U390,4,5,8,SM03
U391,3,7,7,SM02
U393,5,5,6,SM01
U394,1,6,7,SM01
U396,2,5,7,SM06
U397,3,8,9,SM05
U398,4,8,4,SM02
U399,4,7,5,SM03
U400,3,8,5,SM03
U401,2,5,8,SM03
U402,0,7,5,SM03
U403,1,10,5,SM01
U404,5,6,8,SM03
U405,0,4,9,SM05
U406,1,3,8,SM01
U408,3,10,3,SM06
U411,5,7,6,SM04
U412,3,7,7,SM01
U413,3,5,9,SM03
U414,1,5,6,SM02
U415,3,6,7,SM02
U417,2,4,8,SM01
U419,4,8,5,SM06
U420,5,8,8,SM06
U421,5,4,9,SM04
U422,4,7,8,SM04
U423,0,5,8,SM02
U425,4,7,6,SM04
U426,1,6,9,SM03
U428,1,7,5,SM05
U429,3,6,9,SM05
U430,1,6,5,SM05
U431,1,6,6,SM04
U433,4,5,8,SM04
U435,2,7,7,SM04
U436,0,8,5,SM05
U437,2,2,9,SM01
U438,3,7,5,SM02
U439,2,7,6,SM06
U440,2,6,6,SM01
U441,2,4,9,SM03
U442,2,8,4,SM04
U443,3,5,6,SM03
U444,2,8,4,SM04
U445,5,7,7,SM02
U446,0,6,7,SM01
U447,2,4,8,SM02
U448,1,5,9,SM05
U449,3,6,6,SM02
U450,3,4,6,SM02
U453,1,6,8,SM05
U454,3,6,5,SM01
U455,3,6,6,SM02
U457,3,8,3,SM02
U458,2,9,4,SM01
U459,1,5,8,SM03
U460,2,6,8,SM01
U461,1,6,5,SM06
U462,4,7,8,SM06
U463,5,9,5,SM06
U464,3,5,10,SM02
U465,3,8,5,SM04
U467,4,7,7,SM04
U468,4,6,6,SM02
U469,2,6,7,SM01
U470,3,6,6,SM04
U472,1,5,4,SM06
U474,5,7,5,SM06
U475,4,7,7,SM04
U477,0,8,5,SM05
U479,1,6,8,SM04
U480,3,4,10,SM04
U481,5,7,8,SM03
U482,2,4,8,SM03
U483,2,6,6,SM05
U485,1,7,7,SM02
U487,3,8,5,SM06
U488,2,7,7,SM01
U489,3,5,9,SM01
U490,7,7,7,SM06
U493,5,5,7,SM01
U494,0,7,2,SM01
U497,2,7,6,SM01
U499,2,9,7,SM01
U500,3,5,8,SM05
